City,County,Region, Area (sq. mi.) ,Latitude,Longitude, pop2020 ,pop2023,Tier,Growth, Population Density ,Median Household Income,Income Generated (median),Median Age,Bachelors Degree,Graduate Degree,Poverty Rate,Unemployment Rate,Housing Units,Occupied Units,Vacancy Rates,Median Value of Owner-Occupied Units,Total Value of Residential Units
Alachua,Alachua,Northeast Florida,36,29.7652,-82.4751,"10,574","11,030",4,1.40%,304,"$65,838 ","$316,154,076 ",41,27.00%,14.00%,8.10%,5.50%,"4,802","4,344",10%,"$217,600 ","$945,254,400 "
Alafaya,Orange,Central Florida,30,28.5284,-81.1857,"92,452","96,754",3,1.50%,"3,182","$85,056 ","$2,804,636,544 ",36,29.00%,15.00%,7.00%,4.40%,"32,974","30,746",7%,"$307,900 ","$9,466,693,400 "
Altamonte Springs,Seminole,Central Florida,9,28.661,-81.3947,"46,231","47,653",3,1.00%,"5,246","$57,629 ","$1,320,799,051 ",37,28.00%,10.00%,8.10%,5.60%,"22,919","20,797",9%,"$204,900 ","$4,261,305,300 "
Alturas ,Polk,Central Florida,54,,,,"3,651",4,,68,"$50,341 ","$78,330,596 ",39,5%,3%,19.50%,5.80%,"1,556","1,252",20%,"$122,300 ","$153,119,600 "
Alva ,Lee,Suncoast,17,,,,"2,931",4,,168,"$81,648 ","$108,265,248 ",52,15%,12%,18.90%,0.60%,"1,326","1,152",13%,"$241,000 ","$277,632,000 "
Apalachicola ,Franklin,Florida Panhandle,2,,,,"2,580",4,,"1,341","$57,768 ","$88,673,880 ",52,16%,11%,17.40%,8.70%,"1,535","1,199",22%,"$228,200 ","$273,611,800 "
Apollo Beach,Hillsborough,Suncoast,20,27.763,-82.4033,"26,002","29,587",3,4.20%,"1,493","$100,863 ","$1,017,203,355 ",44,26.00%,17.00%,3.30%,4.20%,"10,085","9,429",7%,"$311,400 ","$2,936,190,600 "
Apopka,Orange,Central Florida,34,28.7015,-81.5328,"54,873","58,872",3,2.30%,"1,750","$75,736 ","$1,429,971,416 ",39,21.00%,9.00%,8.20%,4.40%,"18,881","17,650",7%,"$267,800 ","$4,726,670,000 "
Arcadia,DeSoto,Suncoast,4,27.2212,-81.8584,"7,420","7,354",4,-0.30%,"1,702","$27,869 ","$97,875,928 ",35,9.00%,5.00%,25.80%,6.90%,"3,512","3,066",13%,"$120,400 ","$369,146,400 "
Asbury Lake,Clay,Northeast Florida,17,30.049,-81.7876,"11,036","11,738",4,2.00%,689,"$76,507 ","$344,358,007 ",39,27.00%,7.00%,4.70%,1.60%,"4,501","4,222",6%,"$231,100 ","$975,704,200 "
Astatula ,Lake,Central Florida,3,,,,"2,409",4,,771,"$49,598 ","$44,886,190 ",34,13%,3%,27.70%,9.20%,905,829,8%,"$166,600 ","$138,111,400 "
Atlantic Beach,Duval,Northeast Florida,3,30.3396,-81.3967,"13,513","13,771",4,0.60%,"3,949","$92,056 ","$606,649,040 ",50,34.00%,20.00%,3.10%,2.40%,"6,590","5,960",10%,"$435,400 ","$2,594,984,000 "
Atlantis ,Palm Beach,Southeast Florida,1,,,,"1,814",4,,"1,332","$94,531 ","$113,531,731 ",63,40%,25%,6.20%,5.40%,"1,201",846,30%,"$444,300 ","$375,877,800 "
Auburndale,Polk,Central Florida,14,28.11,-81.7973,"15,616","16,249",4,1.30%,"1,198","$60,514 ","$364,112,738 ",40,14.00%,5.00%,9.70%,4.90%,"6,017","5,265",12%,"$190,400 ","$1,002,456,000 "
Ave Maria,Collier,Suncoast,11,,,,"5,018",4,,478,"$64,963 ","$144,997,416 ",42,21.00%,17.00%,17.60%,5.50%,"2,232","1,750",22%,"$353,500 ","$618,625,000 "
Aventura,Miami-Dade,South Florida,3,25.9602,-80.1331,"40,242","41,586",3,1.10%,"15,722","$70,257 ","$2,037,031,458 ",50,30.00%,22.00%,7.10%,5.30%,"28,994","18,624",36%,"$347,800 ","$6,477,427,200 "
